INFO  - 2018-04-08 21:36:56.810; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:36:59.811; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:02.812; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:05.812; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:08.813; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:11.814; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:14.814; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:17.815; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:20.816; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:23.817; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:26.817; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:29.818; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:32.819; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:35.820; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:38.820; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:41.821; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:44.822; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:47.823; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:50.823; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:53.824; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:56.824; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:37:59.824; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:02.825; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:05.826; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:08.827; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:11.827; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:14.828; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:17.829; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:20.829; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:23.829; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:26.830; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:29.830; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:32.830; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:35.831; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:38.831; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:41.832; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:44.832; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:47.833; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:50.834; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:53.834; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:38:56.834; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
